Codigo,Familias,Nombre,Alias,Tasa,Unidad
MA-HN-COD-RO-1½x45º,,"Codo HN Roscado 1½"" x 45º",,,U
MA-HN-COD-RO-1½x90º,,"Codo HN Roscado 1½"" x 90º",,,U
MA-HN-COD-RO-1x45º,,"Codo HN Roscado 1"" x 45º",,,U
MA-HN-COD-RO-1x90º,,"Codo HN Roscado 1"" x 90º",,,U
MA-HN-COD-RO-2½x45º,,"Codo HN Roscado 2½"" x 45",,,U
MA-HN-COD-RO-2½x90º,,"Codo HN Roscado 2½"" x 90",,,U
MA-HN-COD-RO-2x45º,,"Codo HN Roscado 2"" x 45",,,U
MA-HN-COD-RO-2x90º,,"Codo HN Roscado 2"" x 90",,,U
MA-HN-COD-RO-3x45º,,"Codo HN Roscado 3"" x 45º",,,U
MA-HN-COD-RO-3x90º,,"Codo HN Roscado 3"" x 90º",,,U
MA-HN-COD-RO-4x45º,,"Codo HN Roscado 4"" x 45º",,,U
MA-HN-COD-RO-4x90º,,"Codo HN Roscado 4"" x 90º",,,U
MA-HN-COD-RO-6x45º,,"Codo HN Roscado 6"" x 45º",,,U
MA-HN-COD-RO-6x90º,,"Codo HN Roscado 6"" x 90º",,,U
MA-HN-COUP-RO-½,,"Coupling Roscado HN 1/2""",,,U
MA-HN-COUP-RO-¾,,"Coupling Roscado HN 3/4""",,,U
MA-HN-COUP-RO-1,,"Coupling Roscado HN 1""",,,U
MA-HN-COUP-RO-1¼,,"Coupling Roscado HN 1 1/4"" ",,,U
MA-HN-COUP-RO-1½,,"Coupling Roscado HN 1½"" ",,,U
MA-HN-COUP-RO-2,,"Coupling Roscado HN 2""",,,U
MA-HN-NIP-¼x3,,"Niple HN 1/4""x 3""",,,U
MA-HN-NIP-¾x1½,,"Niple HN 3/4""x 1½""",,,U
MA-HN-NIP-¾x2½,,"Niple HN 3/4""x 2½""",,,U
MA-HN-NIP-1½x4,,"Niple HN 1½""x 4""",,,U
MA-HN-NIP-1x2½,,"Niple HN 1""x 2½""",,,0
MA-HN-NIP-2½x4,,"Niple HN 2½""x 4""",,,U
MA-HN-NIP-2x15,,"Niple HN 2"" x 15""",,,U
MA-HN-NIP-2x4,,"Niple HN 2""x 4""",,,U
MA-HN-RED-¾x½,,"Reduccion HN 3/4"" x 1/2""",,,U
MA-HN-RED-1½x¼,,"Reduccion HN 1½"" x 1/4""",,,U
MA-HN-RED-1½x½,,"Reduccion HN 1½"" x 1/2""",,,U
MA-HN-RED-1½x¾,,"Reduccion HN 1½"" x 3/4""",,,U
MA-HN-RED-1½x1,,"Reduccion HN 1½"" x 1""",,,U
MA-HN-RED-1½x1¼,,"Reduccion HN 1½"" x 1 1/4""",,,U
MA-HN-RED-1x¾,,"Reduccion HN 1"" x 3/4""",,,U
MA-HN-RED-2½x2,,"Reducción HN 2 1/2"" x 2""",,,U
MA-HN-RED-2x¾,,"Reducción HN 2"" x 3/4""",,,U
MA-HN-RED-2x1,,"Reducción HN 2"" x 1""",,,U
MA-HN-RED-2x1½,,"Reducción HN 2"" x 1½""",,,U
MA-HN-RED-3x¾,,"Reducción HN 3"" x 3/4""",,,U
MA-HN-RED-3x1,,"Reducción HN 3"" x 1""",,,U
MA-HN-RED-3x1½,,"Reducción HN 3"" x 1½""",,,U
MA-HN-RED-3x2,,"Reducción HN 3"" x 2""",,,U
MA-HN-RED-3x2½,,"Reducción HN 3"" x 2 1/2""",,,U
MA-HN-RED-4x3,,"Reducción HN 4"" x 3""",,,U
MA-HN-RED-6x4,,"Reducción HN 6"" x 4""",,,U
MA-HN-RED-COP-SOL-4x2,,"Reduccion Copa Soldable HN 4"" x 2""",,,U
MA-HN-SCH40-RED-RAN-3x1½,,"Reducción HN Ranurado 3"" x 1½""",,,U
MA-HN-SCH40-RED-RAN-3x2,,"Reducción HN Ranurado 3"" x 2""",,,U
MA-HN-SCH40-RED-RAN-4x2,,"Reducción HN Ranurado 4"" x 2""",,,U
MA-HN-SCH40-RED-RAN-4x3,,"Reducción HN Ranurado 4"" x 3""",,,U
MA-HN-SCH40-RED-ROS-1x1/2,,"Reduccion HN Busch. Roscado 1"" x 1/2""",,,U
MA-HN-SCH40-SCRA-TUB-½,,"Tubo HN SCH-40 sin Costura  de 1/2""",,,U
MA-HN-SCH40-SCRA-TUB-¾,,"Tubo HN SCH-40 sin Costura  de 3/4""",,,U
MA-HN-SCH40-SCRA-TUB-1,,"Tubo HN SCH-40 sin Costura  de 1""",,,U
MA-HN-SCH40-SCRA-TUB-1¼,,"Tubo HN SCH-40 sin Costura  de 1 1/4""",,,U
MA-HN-SCH40-SCRA-TUB-1½,,"Tubo HN SCH-40 sin Costura  de 1½""",,,U
MA-HN-SCH40-SCRA-TUB-2,,"Tubo HN SCH-40 sin Costura  de 2""",,,U
MA-HN-SCH40-SCRA-TUB-2½,,"Tubo HN SCH-40 sin Costura  de 2½""",,,U
MA-HN-SCH40-SCRA-TUB-3,,"Tubo HN SCH-40 sin Costura  de 3""",,,U
MA-HN-SCH40-SCRA-TUB-4,,"Tubo HN SCH-40 sin Costura  de 4""",,,U
MA-HN-SCH40-SCRA-TUB-6,,"Tubo HN SCH-40 sin Costura  de 6""",,,U
MA-HN-SCH40-TEE-RAN-½,,"Tee HN SCH-40 Ranurado 1/2""",,,U
MA-HN-SCH40-TEE-RAN-¾,,"Tee HN SCH-40 Ranurado 3/4""",,,U
MA-HN-SCH40-TEE-RAN-1,,"Tee HN SCH-40 Roscada 1""",,,U
MA-HN-SCH40-TEE-RAN-1¼,,"Tee HN SCH-40 Ranurado 1 1/4"" ",,,U
MA-HN-SCH40-TEE-RAN-1½,,"Tee HN SCH-40 Roscada 1½"" ",,,U
MA-HN-SCH40-TEE-RAN-1½x1,,"Tee HN SCH-40 Roscada 1½"" x 1""",,,U
MA-HN-SCH40-TEE-RAN-2,,"Tee HN SCH-40 Ranurado 2""",,,U
MA-HN-SCH40-TEE-RAN-2½,,"Tee HN SCH-40 Ranurado 2 1/2""",,,U
MA-HN-SCH40-TEE-RAN-2x1,,"Tee HN SCH-40 Ranurado 2"" x 1""",,,U
MA-HN-SCH40-TEE-RAN-3,,"Tee HN SCH-40 Ranurado 3""",,,U
MA-HN-SCH40-TEE-RAN-4,,"Tee HN SCH-40 Ranurado 4""",,,U
MA-HN-SCH40-TEE-RAN-6,,"Tee HN SCH-40 Ranurado 6""",,,U
MA-HN-SCH40-TEE-RO-½,,"Tee HN SCH-40 Roscado 1/2""",,,U
MA-HN-SCH40-TEE-RO-¾,,"Tee HN SCH-40 Roscado 3/4""",,,U
MA-HN-SCH40-TEE-RO-1,,"Tee HN SCH-40 Roscada 1""",,,U
MA-HN-SCH40-TEE-RO-1¼,,"Tee HN SCH-40 Roscado 1 1/4"" ",,,U
MA-HN-SCH40-TEE-RO-1½,,"Tee HN SCH-40 Roscada 1½"" ",,,U
MA-HN-SCH40-TEE-RO-2,,"Tee HN SCH-40 Roscado 2""",,,U
MA-HN-SCH40-TEE-RO-2½,,"Tee HN SCH-40 Roscado 2 1/2""",,,U
MA-HN-SCH40-TEE-RO-3,,"Tee HN SCH-40 Roscado 3""",,,U
MA-HN-SCH40-TEE-RO-4,,"Tee HN SCH-40 Roscado 4""",,,U
MA-HN-SCH40-TEE-RO-6,,"Tee HN SCH-40 Roscado 6""",,,U
MA-HN-SCH40-TUB-½,,"Tubo HN SCH-40 de 1/2""",,,U
